word;meaning
guru;teacher, expert (prefer 'edu-man'), priest, guru
i;introduces verb
ia;hear, listen (see 'mimi')
idea-sinti;inspire
idea;idea, concept, conceptual, ideate
Ifel-tore;Eiffel Tower
igi-man;carpenter
igi;tree, wood
Ila Balea;Balearic Islands, Baleares
Ila Kanario;Canary Islands, Canarias
ila;island
imaje-kapa;camera
imaje;image, picture
Imalea;Himalaya, Himalayas
imperi;command, imperative, rule, empire, imperial
impotan-labora;masterpiece, masterwork
impotan;important, importance, to matter
Indi;Hindi (language)
India-mare;Indian Ocean
India;India, Bharat
Indonesia-linga;Indonesian, Bahasa indonesia
Indonesia;Indonesia
induseri;industry, industrial
infero;hell, to damn, hellish
infiniti-vole;greed
infiniti;infinity, infinite
info;information, inform, informative
inja;wound, injure, injury
inseto-fobo;entomophobia
inseto-siensa-man;entomologist
inseto-siensa;entomology
inseto;insect, bug, pest (see 'iritate')
inta-neto;internet
inta;between, inter-
inteli;smart, intelligence
interesa;interest, interesting
inventi-man;inventor
inventi;invent, invention, inventive
inveti-banka-man;investment banker
inveti;invest, investment
invite;invite, invitation
Irak;Iraq
Iran;Iran, Persia
Ire-lan;Ireland, Éire, Airlann (see 'Eire')
iritate;irritate, bother, pester, annoyance
ironi;irony, ironic, sarcasm
Ise-lan;Iceland
ise-nata;ice cream
ise-tori;penguin
ise;ice, freeze
Italia-linga;Italian (language)
Italia;Italy, Italia
ja;yes, definitely, certainly
jage;search, hunt, pursuit, seek, quest
jaketa;jacket, coat
jalan;path, way, road
janji;promise, vow, pledge, swear
Japan;Japan (prefer 'Nipon')
jara;jar, pitcher, jug, carafe, mug, beaker
jari;shrub, bush
jeli;gel, goop, jelly, blob, paste, mush
jemelo;twin
Jemen;Yemen
jenti;polite, gentle, gracious, courteous
jeo;prison, jail, imprison
jeritan;yell, scream, shout, exclaim
Jesu-nati;Christmas
Jesu-veni;Easter
Jesu;Jesus (christianity)
jeti;throw, shot, shoot, hit
jin;gold, golden (see 'atomo-79')
jira-unda-go;fall rolling, tumble down, fall suddenly and without grace
jira;turn, gyrate, spin, whirl
joke;joke, jest
joli-arapan;satisfy, pleased (with some result)
joli-man;cheerleader
joli-neso;hapiness, pleasure
joli;happy, joy, frolic, enjoy
Jomoglanma;Qomolangma, Chomolungma (Mount Everest) (see 'Santi-feme-paren-monte', 'Everest')
Josun;North Korea, Democratic People's Republic of Korea, DPRK
Josunmau;Korean (language) (see 'Angugo')
Jouo;Javanese (language), basa Jawa
Juda-relijon;Judaism
jue;cheek, jowl
jumpa;jump, bounce, leap, hop, skip, bounce
junta-labora;teamwork, coordination
junta;join, group, together
Jupiter;Jupiter, Iuppiter
jura-deside-kasa;court of law, court, tribunal
jura-man;lawyer
jura-neso;justice
jura-tovari;chaperone, chaperon
jura;law, rule, instruction
jusa;just (adv), very recently, to have just, recent
jusi;juice, juicy
ka;because
Kabeile;Kabylia, Kabyle (language, people, place)
kabinete;cabinet, hutch, wardrobe
kabon;carbon, coal (see 'atomo-6')
kabuma-oko;pop eye, pop-eyed
kabuma;explode, explosion, blast, detonate, pop
kada;each, respectively
kadena;chain, fetters
kadi;card, placard, cardboard, charter
kafe;coffee, cafe
kaja-sino;brackets, parentheses, (), [], {}, ⟨⟩ (see 'rondo-kaja-sino', 'kare-kaja-sino', 'nami-kaja-sino', 'kona-kaja-sino')
kaja;box
kaje;cage, ribcage
kaka-fura;anus
kaka-ropa;diaper
kaka;feces, shit, poop
kakao;chocolate
kalenda;calendar, schedule, timetable
kali-fobo;nyctophobia
kali;dark, black
Kalifornia;California
kalite;quality, property, to attribute, feature, trait, -ness
kalori-fobo;thermophobia
kalori-mui-ke;temperature
kalori;heat, hot, calorie
kama;bed
kambio;exchange, trade, barter
kamera;chamber, room, partition, hall
kamina-man;pedestrian
kamina-neso;walkability
kamina;walk, ambulate, stroll, hike
kamisa;shirt
kampo;field, camp, to camp, countryside, meadow, rural
kan;can, may, able, ability, skill
Kanada;Canada
kanali;canal, channel, gutter, moat
kanario-tori;canary (bird), Serinus canaria, Crithagra flaviventris
kanda;shoulder, shrug
kandela;candle
kanela;cinnamon
kanon;cannon, artillery, gun barrel
Kanon;Canon (music, place, surname, religion)
kansera;crab
Kantabria;Cantabria
kanti-man;singer
kanti;sing, song, tune, melody
kapa;capture, catch, seize, grasp, captive, grab, get hold of
kapo-sentense;title (text), heading, header (text)
kapo-siti;capital (geography)
kapo;head, main
kare-kaja-sino;square brackets, []
kare;square, plaza
karera-man;contestant, player, participant, challenger
karera;race, competition, compete
karo-para;parking, park (a vehicle)
karo;car, vehicle, drive
kasa;house, building
Kasastan;Kazakhstan, Qazaqstan
kasele;castle, fortress
kasi;almost
Kastila an Leon;Castile and Leon, Castilla y León, Castiella y Llión, Castela e León (see 'Kastila-Leon')
Kastila-Leon;Castile and Leon, Castilla y León, Castiella y Llión, Castela e León (see 'Kastila an Leon')
Kastila-Mansa;Castile La Mancha, Castilla–La Mancha
kata-igi-man;woodman, woodsman
kata;cut, incision, slice, chop
Katalan;Catalonia, Catalunya, Catalonha, Cataluña, Catalan (language), Català, Valencià, Valencian
katana;sword
kavalo-fobo;equinophobia
kavalo-kavalo;mule
kavalo-rondo-radika-veji;horseradish, horse radish
kavalo;horse, donkey, mule
kave;cave, cavern
ke;what, that, introduce dependant clause
keju;cheese
keki;cake
kelabu;gray, grey
kemi-man;chemist
kemi;chemical, drug
Kenia;Kenya
kera;horn (animal + instrument), spike
kerami;ceramic, pottery, china, terracota, clay pot
keredo;believe, belief, creed
Kerusa-relijon;Catholicism
kerusa;cross, intersect, intersection, crucifix
kia;key, unlock
kilo-ano;millennium
kilo-gama;Kg, kilogram
kilo;thousand, 1000
kinde-gaden;kindergarten
kinde;child
kino;film, movie, cinema, to film
kipa-tenden-neso;stability
kipa;keep, stay, remain, remainder, reserve, stockpile
Kipro;Cyprus
kirikiti;cricket, grasshopper, locust
kite;leave, quit, abandon, exit
koda;tail, coda
kode;code, cipher, program code
koleki;collect, collection, gather
kolenka;knee
kolidi;crash, collision, collide
kolina;hill
kolo-rondo;rainbow
kolo;color, colour, colorful
Kolombia;Colombia
koloni;colony, colonial, colonize
kolun;column, pillar, pole, spine
koma;clause, comma
komedi;comedy, humor, funny
kompare;compare, comparison
komputa;computer, compute
komun-dire-fobo;glossophobia
komun;community, communal, public
kon-pasa;coincide, concur, simultaneous
kon;with, include
kona-kaja-sino;angle brackets, chevrons, ⟨⟩
kona;corner, angle
konditi;condition, state
konfi;comfortable, comfort, cozy
konfuse;confusion, confuse, confusing, perplex
Kongo;Congo (people, place, kingdom, language), Kikongo, Republic of the Congo, Congo-Brazzaville (not to be confused with 'Popula-regula-gove republika de kongo', 'Popula republika de kongo')
konka;shell
kono;cone
konsiense;conscience, awareness, conscious, consciousness
kopa-keki;cupcake, fairy cake
kopa;cup, drinking vessel, chalice
kopen-man;shopper, purchaser, customer, buyer, client
kopen;buy, a purchase
kopere;copper (see 'atomo-29')
kore;heart
Korea;Korea (region), Joseon, Hanguk (not to be confused with 'Deanmingu', 'Josun')
koredora;hall, corridor
koreo;mail, letter, post
kosa-reo;transit
kosa;thing, stuff
kosina;kitchen, to cook
kote;cost, price, to cost
koton;cotton
kova-oko;eyelid
kova;cover, covering, conceal, blanket, cloak, shawl
Kristo-buku;Bible
Kristo-relijon;Christianity (religion)
kubita;elbow, nudge, cubit
kubo;brick, cube, block
kujara;spoon
kula-lubi;ski
kula;cool, cold
kulutura;culture, cultural
kuneli;rabbit, hare, bunny
Kuontonuua;Cantonese
kuretina;curtain, drape, screen, blinds
kuri;run, sprint, jog
kusin;cousin
kuve;tub, barrel, vat, tank
labi;lip, rim, brim
labora-man;employee, worker
labora-safari;commute, travel from or to work
labora;work, labor, hard-working, job
lada;ladder, escalator, stairs, steps
lado-mira;side-eye, side eye, side-look
lado;side, adjacent, next to
lagima;tears, to cry
lago;lake, loch, pond
laji;trash, garbage, waste, to throw away
lakoni-note;article, nonfiction short text
lakoni;short (length), curt, brief
lampa;lamp
Lan de-i uno de amerika;United States of America, USA
lan-runguma;landlock, landlocked
lan;land, territory, domain, state
lana;wool
Lanka;Sri Lanka
lase;let, allow, license, permission, licit, marks hortative mood
lasi;lazy, indolence, inactivity
lati-maladi;plague, epidemic
lati;wide, broad, width, latitude
Latin;Latin, lingua Latīna
lava;wash
leje-man;reader
leje;read, a reading, well-read
lense;lens, eyeglasses, magnifying glass
lenta;slow, slowly
